method,embedding_key,k_shot,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
Few-shot prototype (image+text),multimodal_emb,1,0.6962483545414655,0.6165732688198932,0.6975192884697814,0.6173861671279972
Few-shot prototype (image+text),multimodal_emb,2,0.783265686704695,0.7120692604848826,0.7835137162451778,0.7128894489476952
Few-shot prototype (image+text),multimodal_emb,4,0.8692134708205353,0.7787270053109966,0.8755625803686241,0.7866637303564199
Few-shot prototype (image+text),multimodal_emb,8,0.8954859587538394,0.8072268843065238,0.8989766395199315,0.8136997554699277
Few-shot prototype (image+text),multimodal_emb,16,0.9145458534444932,0.8297456023913741,0.9201671667381055,0.8391847077088616
Few-shot prototype (image+text),multimodal_emb,32,0.9190982887231242,0.8344751458381052,0.9234890698671239,0.8433304904318651
Few-shot prototype (image+text),multimodal_emb,64,0.9294098288723125,0.8516701334706309,0.935972996142306,0.8639097542982517
Few-shot prototype (image-only),image_emb,1,0.5782141290039491,0.4894686036737411,0.580073939134162,0.4896516178159757
Few-shot prototype (image-only),image_emb,2,0.6252742430890742,0.5596109540041457,0.6211155165023574,0.5546575748885529
Few-shot prototype (image-only),image_emb,4,0.7479431768319438,0.6420448811681876,0.7496249464209173,0.6448860550523619
Few-shot prototype (image-only),image_emb,8,0.777122641509434,0.6654834550208376,0.7751821688812688,0.6624503105161433
Few-shot prototype (image-only),image_emb,16,0.8098672663448881,0.7041023311328716,0.8086155165023575,0.7028845671511237
Few-shot prototype (image-only),image_emb,32,0.8088251426064064,0.7040568486238996,0.8088030432918988,0.7050086216481726
Few-shot prototype (image-only),image_emb,64,0.8211112329969285,0.7162734195946722,0.8203493356193742,0.715099262016951
Few-shot prototype (text-only),text_emb,1,0.7032415533128565,0.6299959831337176,0.7073778396913845,0.6350300263147215
Few-shot prototype (text-only),text_emb,2,0.8156537955243528,0.7378601217291068,0.8150450064294898,0.7378771402356036
Few-shot prototype (text-only),text_emb,4,0.8777972795085563,0.7939060140249505,0.8762591084440634,0.7911770576266564
Few-shot prototype (text-only),text_emb,8,0.9057152259763054,0.824670662226846,0.9053257608229748,0.8246466656833066
Few-shot prototype (text-only),text_emb,16,0.9256526985519965,0.8524787132717941,0.9267573939134162,0.8537469516963013
Few-shot prototype (text-only),text_emb,32,0.9352237823606845,0.8655352308745958,0.9356783111873125,0.8642054021930656
Few-shot prototype (text-only),text_emb,64,0.9481954804738921,0.8888378680539755,0.9485372910415774,0.8865325672321824
